subplot,in_out,subplot_ID,stake1_utm_x,stake1_utm_y,stake2_utm_x,stake2_utm_y,plot_skew,angle_to_subplot,seedling_subplot_distance,subplot_utm_delta_x,subplot_utm_delta_y,subplot_utm_x,subplot_utm_y
A3,out,C7.4.A3.out,315499.65,4880434.76,315509.65,4880434.44,-0.031989083,-0.052583062,9.513148795,9.479147919,-0.803588658,315509.1291,4880433.956
B2,in,C7.4.B2.in,315509.97,4880444.43,315519.96,4880444.11,-0.032021082,-0.785398163,7.071067812,4.837358793,-5.157514897,315514.8074,4880439.272
B2,out,C7.4.B2.out,315509.97,4880444.43,315519.96,4880444.11,-0.032021082,,,0,0,,
C1,in,C7.4.C1.in,315520.29,4880454.1,315530.28,4880453.78,-0.032021082,-0.785398163,7.071067812,4.837358793,-5.157514897,315525.1274,4880448.942
C1,out,C7.4.C1.out,315520.29,4880454.1,315530.28,4880453.78,-0.032021082,-1.518213265,9.513148795,0.195595385,-9.51113781,315520.4856,4880444.589
C3,in,C7.4.C3.in,315519.64,4880434.11,315529.64,4880433.79,-0.031989084,-0.785398163,7.071067812,4.837523821,-5.157360107,315524.4775,4880428.953
C3,out,C7.4.C3.out,315519.64,4880434.11,315529.64,4880433.79,-0.031989084,-0.785398163,0.707106781,0.483752382,-0.515736011,315520.1238,4880433.594
A1,in,JBO.1.A1.in,268416.16,4879952.52,268425.95,4879950.47,-0.206414923,-0.785398163,7.071067812,3.869098605,-5.918621122,268420.0291,4879946.601
A1,out,JBO.1.A1.out,268416.16,4879952.52,268425.95,4879950.47,-0.206414923,-0.785398163,13.43502884,7.35128735,-11.24538013,268423.5113,4879941.275
A3,in,JBO.1.A3.in,268412.05,4879932.94,268421.84,4879930.89,-0.206414924,-0.785398163,7.071067812,3.869098599,-5.918621126,268415.9191,4879927.021
A3,out,JBO.1.A3.out,268412.05,4879932.94,268421.84,4879930.89,-0.206414924,-0.052583062,9.513148795,9.195857612,-2.436432386,268421.2459,4879930.504
B2,in,JBO.1.B2.in,268423.9,4879940.68,268433.69,4879938.62,-0.207393265,-0.785398163,7.071067812,3.863306317,-5.922403591,268427.7633,4879934.758
B2,out,JBO.1.B2.out,268423.9,4879940.68,268433.69,4879938.62,-0.207393265,,,0,0,,
C1,in,JBO.1.C1.in,268435.74,4879948.41,268445.53,4879946.36,-0.206414923,-0.785398163,7.071067812,3.869098605,-5.918621122,268439.6091,4879942.491
C1,out,JBO.1.C1.out,268435.74,4879948.41,268445.53,4879946.36,-0.206414923,-1.518213265,9.513148795,-1.457660404,-9.400809866,268434.2823,4879939.009
C3,in,JBO.1.C3.in,268431.63,4879928.83,268441.42,4879926.78,-0.206414923,-0.785398163,7.071067812,3.869098605,-5.918621122,268435.4991,4879922.911
C3,out,JBO.1.C3.out,268431.63,4879928.83,268441.42,4879926.78,-0.206414923,-0.785398163,0.707106781,0.386909861,-0.591862112,268432.0169,4879928.238
A1,in,JBO.2.A1.in,268464.66,4879903.39,268474.23,4879900.48,-0.295191335,-0.785398163,7.071067812,3.329117907,-6.238347054,268467.9891,4879897.152
A1,out,JBO.2.A1.out,268464.66,4879903.39,268474.23,4879900.48,-0.295191335,-0.785398163,13.43502884,6.325324023,-11.8528594,268470.9853,4879891.537
A3,in,JBO.2.A3.in,268458.86,4879884.24,268468.43,4879881.34,-0.294234566,-0.785398163,7.071067812,3.335085039,-6.235159002,268462.1951,4879878.005
A3,out,JBO.2.A3.out,268458.86,4879884.24,268468.43,4879881.34,-0.294234566,-0.052583062,9.513148795,8.946728141,-3.233582466,268467.8067,4879881.006
B2,in,JBO.2.B2.in,268471.33,4879890.91,268480.91,4879888.01,-0.293944829,-0.785398163,7.071067812,3.336891459,-6.234192441,268474.6669,4879884.676
B2,out,JBO.2.B2.out,268471.33,4879890.91,268480.91,4879888.01,-0.293944829,,,0,0,,
C1,in,JBO.2.C1.in,268483.81,4879897.58,268493.38,4879894.68,-0.294234566,-0.785398163,7.071067812,3.33508504,-6.235159002,268487.1451,4879891.345
C1,out,JBO.2.C1.out,268483.81,4879897.58,268493.38,4879894.68,-0.294234566,-1.518213265,9.513148795,-2.276558062,-9.236735538,268481.5334,4879888.343
C3,in,JBO.2.C3.in,268478.01,4879878.44,268487.58,4879875.54,-0.294234565,-0.785398163,7.071067812,3.335085046,-6.235158999,268481.3451,4879872.205
C3,out,JBO.2.C3.out,268478.01,4879878.44,268487.58,4879875.54,-0.294234565,-0.785398163,0.707106781,0.333508505,-0.6235159,268478.3435,4879877.816
A1,in,JBO.3.A1.in,268404.41,4879896.49,268414.2,4879894.43,-0.207393267,-0.785398163,7.071067812,3.863306306,-5.922403599,268408.2733,4879890.568
A1,out,JBO.3.A1.out,268404.41,4879896.49,268414.2,4879894.43,-0.207393267,-0.785398163,13.43502884,7.340281981,-11.25256684,268411.7503,4879885.237
A3,in,JBO.3.A3.in,268400.3,4879876.91,268410.09,4879874.85,-0.207393267,-0.785398163,7.071067812,3.863306306,-5.922403599,268404.1633,4879870.988
A3,out,JBO.3.A3.out,268400.3,4879876.91,268410.09,4879874.85,-0.207393267,-0.052583062,9.513148795,9.193469545,-2.445427924,268409.4935,4879874.465
B2,in,JBO.3.B2.in,268412.15,4879884.64,268421.94,4879882.59,-0.206414923,-0.785398163,7.071067812,3.869098605,-5.918621122,268416.0191,4879878.721
B2,out,JBO.3.B2.out,268412.15,4879884.64,268421.94,4879882.59,-0.206414923,,,0,0,,
C1,in,JBO.3.C1.in,268423.99,4879892.38,268433.78,4879890.32,-0.207393265,-0.785398163,7.071067812,3.863306318,-5.922403591,268427.8533,4879886.458
C1,out,JBO.3.C1.out,268423.99,4879892.38,268433.78,4879890.32,-0.207393265,-1.518213265,9.513148795,-1.466856914,-9.399379277,268422.5231,4879882.981
C3,in,JBO.3.C3.in,268419.88,4879872.8,268429.67,4879870.74,-0.207393265,-0.785398163,7.071067812,3.863306317,-5.922403591,268423.7433,4879866.878
C3,out,JBO.3.C3.out,268419.88,4879872.8,268429.67,4879870.74,-0.207393265,-0.785398163,0.707106781,0.386330632,-0.592240359,268420.2663,4879872.208
A1,in,JBO.4.A1.in,268479.16,4879951.25,268488.73,4879948.35,-0.294234566,-0.785398163,7.071067812,3.33508504,-6.235159002,268482.4951,4879945.015
A1,out,JBO.4.A1.out,268479.16,4879951.25,268488.73,4879948.35,-0.294234566,-0.785398163,13.43502884,6.336661576,-11.8468021,268485.4967,4879939.403
A3,in,JBO.4.A3.in,268473.36,4879932.1,268482.93,4879929.2,-0.294234564,-0.785398163,7.071067812,3.335085052,-6.235158995,268476.6951,4879925.865
A3,out,JBO.4.A3.out,268473.36,4879932.1,268482.93,4879929.2,-0.294234564,-0.052583062,9.513148795,8.946728148,-3.233582449,268482.3067,4879928.866
B2,in,JBO.4.B2.in,268485.83,4879938.78,268495.4,4879935.88,-0.294234566,-0.785398163,7.071067812,3.335085039,-6.235159002,268489.1651,4879932.545
B2,out,JBO.4.B2.out,268485.83,4879938.78,268495.4,4879935.88,-0.294234566,,,0,0,,
C1,in,JBO.4.C1.in,268498.3,4879945.45,268507.88,4879942.55,-0.293944829,-0.785398163,7.071067812,3.336891459,-6.234192441,268501.6369,4879939.216
C1,out,JBO.4.C1.out,268498.3,4879945.45,268507.88,4879942.55,-0.293944829,-1.518213265,9.513148795,-2.273881738,-9.237394754,268496.0261,4879936.213
C3,in,JBO.4.C3.in,268492.5,4879926.3,268502.08,4879923.4,-0.293944827,-0.785398163,7.071067812,3.336891472,-6.234192434,268495.8369,4879920.066
C3,out,JBO.4.C3.out,268492.5,4879926.3,268502.08,4879923.4,-0.293944827,-0.785398163,0.707106781,0.333689147,-0.623419243,268492.8337,4879925.677
