stand,plot,basket,stake1_utm_x,stake1_utm_y,stake2_utm_x,stake2_utm_y,plot_skew,angle_to_subplot,basket_distance,basket_utm_delta_x,basket_utm_delta_y,basket_utm_x,basket_utm_y
C7,4,C1,315520.29,4880454.1,315530.28,4880453.78,-0.032021082,-0.785398163,7.071067812,4.837358793,-5.157514897,315525.1274,4880448.942
C7,4,C3,315519.64,4880434.11,315529.64,4880433.79,-0.031989084,-0.785398163,7.071067812,4.837523821,-5.157360107,315524.4775,4880428.953
JBO,1,A1,268416.16,4879952.52,268425.95,4879950.47,-0.206414923,-0.785398163,7.071067812,3.869098605,-5.918621122,268420.0291,4879946.601
JBO,1,A3,268412.05,4879932.94,268421.84,4879930.89,-0.206414924,-0.785398163,7.071067812,3.869098599,-5.918621126,268415.9191,4879927.021
JBO,1,B2,268423.9,4879940.68,268433.69,4879938.62,-0.207393265,-0.785398163,7.071067812,3.863306317,-5.922403591,268427.7633,4879934.758
JBO,1,C1,268435.74,4879948.41,268445.53,4879946.36,-0.206414923,-0.785398163,7.071067812,3.869098605,-5.918621122,268439.6091,4879942.491
JBO,1,C3,268431.63,4879928.83,268441.42,4879926.78,-0.206414923,-0.785398163,7.071067812,3.869098605,-5.918621122,268435.4991,4879922.911
JBO,2,A1,268464.66,4879903.39,268474.23,4879900.48,-0.295191335,-0.785398163,7.071067812,3.329117907,-6.238347054,268467.9891,4879897.152
JBO,2,A3,268458.86,4879884.24,268468.43,4879881.34,-0.294234566,-0.785398163,7.071067812,3.335085039,-6.235159002,268462.1951,4879878.005
JBO,2,B2,268471.33,4879890.91,268480.91,4879888.01,-0.293944829,-0.785398163,7.071067812,3.336891459,-6.234192441,268474.6669,4879884.676
JBO,2,C1,268483.81,4879897.58,268493.38,4879894.68,-0.294234566,-0.785398163,7.071067812,3.33508504,-6.235159002,268487.1451,4879891.345
JBO,2,C3,268478.01,4879878.44,268487.58,4879875.54,-0.294234565,-0.785398163,7.071067812,3.335085046,-6.235158999,268481.3451,4879872.205
JBO,3,A1,268404.41,4879896.49,268414.2,4879894.43,-0.207393267,-0.785398163,7.071067812,3.863306306,-5.922403599,268408.2733,4879890.568
JBO,3,A3,268400.3,4879876.91,268410.09,4879874.85,-0.207393267,-0.785398163,7.071067812,3.863306306,-5.922403599,268404.1633,4879870.988
JBO,3,B2,268412.15,4879884.64,268421.94,4879882.59,-0.206414923,-0.785398163,7.071067812,3.869098605,-5.918621122,268416.0191,4879878.721
JBO,3,C1,268423.99,4879892.38,268433.78,4879890.32,-0.207393265,-0.785398163,7.071067812,3.863306318,-5.922403591,268427.8533,4879886.458
JBO,3,C3,268419.88,4879872.8,268429.67,4879870.74,-0.207393265,-0.785398163,7.071067812,3.863306317,-5.922403591,268423.7433,4879866.878
JBO,4,A1,268479.16,4879951.25,268488.73,4879948.35,-0.294234566,-0.785398163,7.071067812,3.33508504,-6.235159002,268482.4951,4879945.015
JBO,4,A3,268473.36,4879932.1,268482.93,4879929.2,-0.294234564,-0.785398163,7.071067812,3.335085052,-6.235158995,268476.6951,4879925.865
JBO,4,B2,268485.83,4879938.78,268495.4,4879935.88,-0.294234566,-0.785398163,7.071067812,3.335085039,-6.235159002,268489.1651,4879932.545
JBO,4,C1,268498.3,4879945.45,268507.88,4879942.55,-0.293944829,-0.785398163,7.071067812,3.336891459,-6.234192441,268501.6369,4879939.216
JBO,4,C3,268492.5,4879926.3,268502.08,4879923.4,-0.293944827,-0.785398163,7.071067812,3.336891472,-6.234192434,268495.8369,4879920.066
