UTM.EASTIN,UTM.NORTHI
-71.32074442890121,44.04263431372881
-71.32082426490798,44.042703456256
-71.32090410461566,44.04277268868296
-71.32098381628056,44.04284183362365
-71.32064857399504,44.042691901401085
-71.32072840997326,44.0427610439954
-71.32080812493642,44.042830279024116
-71.32088796128842,44.04289942149723
-71.32055259067288,44.04274940157025
-71.32063243013583,44.042818634192244
-71.32071226627222,44.042887776793144
-71.32079210610938,44.04295700929382
-71.32045673539292,44.042806989088454
-71.32053657131372,44.04287613181714
-71.32061628621894,44.04294536698004
-71.32069612251354,44.04301450958751
-71.32028104070767,44.04279534371273
-71.32067998221088,44.04314133233895
-71.32122407828727,44.04234645656817
-71.32130379323709,44.042415691254945
-71.32138362957413,44.0424848333856
-71.32146346961288,44.042554065416
-71.32112809960095,44.04240404716055
-71.32120793923683,44.042473279379415
-71.3212877755453,44.042542421577224
-71.32136749084006,44.042611656209985
-71.3210322454425,44.04246163514092
-71.32111208153538,44.042530777466496
-71.32119179661429,44.042600012226885
-71.32127163308095,44.04266915443126
-71.32093626638199,44.042519225579056
-71.32101610244618,44.042588367971874
-71.32109593869725,44.042657510304025
-71.32117565393408,44.04272674507097
-71.32124022079446,44.04221972371395
-71.32163916373813,44.04256570898287
-71.32200793967924,44.042066186899035
-71.32200854318205,44.0419762328012
-71.32200901845945,44.04188619127761
-71.32200949725669,44.04179623971312
-71.32188323779863,44.04206584146628
-71.32188371677641,44.04197588990075
-71.32188419224308,44.04188584837355
-71.32188479594292,44.041795894269704
-71.32175841119965,44.04206549843291
-71.32175901156523,44.04197545436776
-71.32175949073617,44.04188550279734
-71.32175996639617,44.041795461265274
-71.32163370579552,44.04206506276712
-71.32163418515125,44.04197511119439
-71.32163466099625,44.04188506965999
-71.32163526507408,44.04179511554923
-71.32150840316245,44.04215476099628
-71.32213216647561,44.04215657371298
-71.32151103979015,44.04170472815637
-71.32213480189213,44.041706630922086
-71.3221741131292,44.042683757542875
-71.32215304754759,44.04259505438259
-71.32213185731928,44.04250635375184
-71.32211066715962,44.0424176531145
-71.32205126884794,44.042699040062836
-71.32203007872722,44.042610339412164
-71.32200888867517,44.04252163875492
-71.32198769869179,44.042432938091096
-71.3219282962671,44.04271423502741
-71.32190710632268,44.04262553435026
-71.32188591644694,44.042536833666524
-71.32186472663987,44.04244813297622
-71.3218053271333,44.042729519821236
-71.32178413736517,44.042640819117594
-71.32176294766569,44.04255211840737
-71.32174188274983,44.042463415154955
-71.32170342287567,44.04283350774307
-71.32231827259895,44.04275717294695
-71.32159772469016,44.0423899989885
-71.32221257000614,44.042313664853225
-71.31991042943021,44.04303416524197
-71.32002747288416,44.04306527924908
-71.32014451645642,44.04309639313336
-71.32026156014696,44.04312750689482
-71.31986729452636,44.04311859109102
-71.31998433812778,44.0431497051388
-71.32010138184751,44.04318081906376
-71.32021842919852,44.04321202282635
-71.31982403478756,44.04320301945886
-71.3199410785364,44.04323413354746
-71.32005824712031,44.043265244979374
-71.32017529461874,44.04329644878266
-71.31978089964696,44.043287445278295
-71.31989794354328,44.04331855940756
-71.3200149910706,44.04334976337447
-71.320132159920675,44.04338087472415
-71.3196207204626,44.04334075679023
-71.32020594478593,44.04349641698619
-71.31983651751514,44.04291853532838
-71.32042186638111,44.04307428193318
-71.321159635912025,44.042853475376674
-71.32076057248715,44.04250758092434
-71.2697351069386,44.058955605792605
-71.26966398506364,44.05888157277446
-71.26959299156012,44.058807627191314
-71.26952187348176,44.05873368403875
-71.26963256851928,44.05900689114893
-71.26956144670554,44.05893285806612
-71.26949032850926,44.05885891489774
-71.26941933524587,44.05878496920116
